fighter_SIG.STR._round_1,fighter_SIG.STR._round_2,fighter_SIG.STR._round_3,fighter_SIG.STR._round_4,fighter_SIG.STR._round_5,fighter_SIG.STR._round_6,fighter_SIG.STR._round_7,fighter_SIG.STR._round_8,fighter_SIG.STR._round_9,fighter_SIG.STR._round_10,fighter_SIG.STR._round_11,fighter_SIG.STR._round_12,fighter_SIG.STR._round_13,fighter_SIG.STR._round_14,fighter_SIG.STR._round_15,opponent_SIG.STR._round_1,opponent_SIG.STR._round_2,opponent_SIG.STR._round_3,opponent_SIG.STR._round_4,opponent_SIG.STR._round_5,opponent_SIG.STR._round_6,opponent_SIG.STR._round_7,opponent_SIG.STR._round_8,opponent_SIG.STR._round_9,opponent_SIG.STR._round_10,opponent_SIG.STR._round_11,opponent_SIG.STR._round_12,opponent_SIG.STR._round_13,opponent_SIG.STR._round_14,opponent_SIG.STR._round_15,fighter_SIG.STR. %_round_1,fighter_SIG.STR. %_round_2,fighter_SIG.STR. %_round_3,fighter_SIG.STR. %_round_4,fighter_SIG.STR. %_round_5,fighter_SIG.STR. %_round_6,fighter_SIG.STR. %_round_7,fighter_SIG.STR. %_round_8,fighter_SIG.STR. %_round_9,fighter_SIG.STR. %_round_10,fighter_SIG.STR. %_round_11,fighter_SIG.STR. %_round_12,fighter_SIG.STR. %_round_13,fighter_SIG.STR. %_round_14,fighter_SIG.STR. %_round_15,opponent_SIG.STR. %_round_1,opponent_SIG.STR. %_round_2,opponent_SIG.STR. %_round_3,opponent_SIG.STR. %_round_4,opponent_SIG.STR. %_round_5,opponent_SIG.STR. %_round_6,opponent_SIG.STR. %_round_7,opponent_SIG.STR. %_round_8,opponent_SIG.STR. %_round_9,opponent_SIG.STR. %_round_10,opponent_SIG.STR. %_round_11,opponent_SIG.STR. %_round_12,opponent_SIG.STR. %_round_13,opponent_SIG.STR. %_round_14,opponent_SIG.STR. %_round_15,target
4.0,23.0,8.0,0.0,3.0,24.0,13.0,2.0,2.0,1.0,4.0,21.0,15.0,3.0,14.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.8,0.62,0.8,0.0,0.3,0.38,0.24,0.25,1.0,0.5,0.28,0.5,0.53,0.5,0.41,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,7.0
13.0,31.0,2.0,2.0,2.0,4.0,1.0,4.0,47.0,21.0,15.0,15.0,0.0,3.0,14.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.24,0.4,0.25,0.25,1.0,1.0,0.5,0.28,0.52,0.5,0.34,0.53,0.0,0.5,0.41,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,42.0
22.0,13.0,18.0,26.0,29.0,33.0,9.0,62.0,60.0,10.0,14.0,39.0,14.0,11.0,26.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.42,0.52,0.35,0.43,0.53,0.66,0.64,0.61,0.7,0.35,0.53,0.52,0.48,0.57,0.44,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,31.0
26.0,29.0,29.0,33.0,9.0,62.0,60.0,10.0,16.0,14.0,39.0,60.0,14.0,11.0,26.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.43,0.34,0.53,0.66,0.64,0.61,0.7,0.35,0.47,0.53,0.52,0.54,0.48,0.57,0.44,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,24.0
29.0,29.0,29.0,33.0,9.0,62.0,60.0,10.0,16.0,14.0,39.0,60.0,14.0,11.0,26.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.34,0.39,0.53,0.66,0.64,0.61,0.7,0.35,0.47,0.53,0.52,0.54,0.48,0.57,0.44,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,35.0
15.0,23.0,22.0,18.0,18.0,13.0,22.0,2.0,20.0,10.0,20.0,13.0,14.0,24.0,10.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.39,0.53,0.45,0.52,0.56,0.43,0.59,0.18,0.45,0.31,0.45,0.56,0.4,0.51,0.62,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,17.0
2.0,11.0,20.0,20.0,10.0,29.0,20.0,20.0,13.0,14.0,25.0,24.0,23.0,10.0,42.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.18,0.37,0.45,0.39,0.31,0.46,0.45,0.51,0.56,0.4,0.51,0.51,0.41,0.62,0.71,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,40.0
10.0,29.0,16.0,20.0,20.0,25.0,13.0,14.0,25.0,27.0,24.0,23.0,10.0,10.0,42.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.31,0.46,0.39,0.45,0.51,0.51,0.56,0.4,0.51,0.54,0.51,0.41,0.47,0.62,0.71,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,24.0
16.0,17.0,20.0,20.0,25.0,13.0,14.0,25.0,27.0,28.0,24.0,23.0,10.0,10.0,42.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.39,0.37,0.45,0.51,0.51,0.56,0.4,0.51,0.54,0.75,0.51,0.41,0.47,0.62,0.71,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,21.0
24.0,23.0,13.0,13.0,9.0,19.0,25.0,29.0,24.0,22.0,30.0,12.0,21.0,23.0,38.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.36,0.56,0.59,0.46,0.9,0.24,0.31,0.4,0.37,0.51,0.43,0.3,0.36,0.46,0.58,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,9.0
